x, y
0                    , 0                      
0.01                 , 2.7750551399999987E-15 
0.02                 , 1.3782062694399986E-12 
0.03                 , 5.137744800473996E-11  
0.04                 , 6.633147491942395E-10  
0.05                 , 4.789243164062511E-09  
0.060000000000000005 , 2.3939266935767072E-08 
0.07                 , 9.28318999198992E-08   
0.08                 , 2.9890927975727075E-07 
0.09                 , 8.349736976043868E-07  
0.09999999999999999  , 2.0849399999999983E-06 
0.10999999999999999  , 4.754120873721011E-06  
0.11999999999999998  , 1.0056463091069076E-05 
0.12999999999999998  , 1.9971650700769223E-05 
0.13999999999999999  , 3.7584926731477505E-05 
0.15                 , 6.752182029785154E-05  
0.16                 , 0.00011648868299449562 
0.17                 , 0.00019392803755636793 
0.18000000000000002  , 0.0003127952405052432  
0.19000000000000003  , 0.0004904598921947576  
0.20000000000000004  , 0.000749731840000001   
0.21000000000000005  , 0.0011200075740746766  
0.22000000000000006  , 0.0016385283824670621  
0.23000000000000007  , 0.0023517368960676733  
0.24000000000000007  , 0.003316713705383288   
0.25000000000000006  , 0.004602670669555673   
0.26000000000000006  , 0.006292472468594816   
0.2700000000000001   , 0.008484152982497176   
0.2800000000000001   , 0.01129238832921524    
0.2900000000000001   , 0.014849883972836089   
0.3000000000000001   , 0.019308629340000053   
0.3100000000000001   , 0.02484096997204649    
0.3200000000000001   , 0.031640444506057956   
0.3300000000000001   , 0.03992233182990804    
0.34000000000000014  , 0.04992385269982792    
0.35000000000000014  , 0.06190397004295429    
0.36000000000000015  , 0.07614273318333203    
0.37000000000000016  , 0.09294011341054362    
0.38000000000000017  , 0.1126142817278684     
0.3900000000000002   , 0.13549928433234457    
0.4000000000000002   , 0.1619420774400005     
0.4100000000000002   , 0.19229889050914692    
0.4200000000000002   , 0.22693089575052589    
0.4300000000000002   , 0.26619917204572147    
0.4400000000000002   , 0.310458963006482      
0.45000000000000023  , 0.3600532418595568     
0.46000000000000024  , 0.41530561007512923    
0.47000000000000025  , 0.4765125720901866     
0.48000000000000026  , 0.5439352450054338     
0.49000000000000027  , 0.6177905796245602     
0.5000000000000002   , 0.6982421875000018     
0.5100000000000002   , 0.785390887563909      
0.5200000000000002   , 0.8792651052414987     
0.5300000000000002   , 0.9798112764201868     
0.5400000000000003   , 1.0868844280034675     
0.5500000000000003   , 1.200239125701551      
0.5600000000000003   , 1.3195209978544193     
0.5700000000000003   , 1.4442590610640238     
0.5800000000000003   , 1.5738590888100503     
0.5900000000000003   , 1.7075982775781027     
0.6000000000000003   , 1.8446214758400046     
0.6100000000000003   , 1.9839392489511742     
0.6200000000000003   , 2.1244280570844047     
0.6300000000000003   , 2.2648328230731587     
0.6400000000000003   , 2.403772161815005      
0.6500000000000004   , 2.5397465319642483     
0.6600000000000004   , 2.671149553250448      
0.6700000000000004   , 2.796282708075008      
0.6800000000000004   , 2.91337361318834       
0.6900000000000004   , 3.020598005309607      
0.7000000000000004   , 3.1161055325400038     
0.7100000000000004   , 3.198049380303648      
0.7200000000000004   , 3.264619685235353      
0.7300000000000004   , 3.314080601771477      
0.7400000000000004   , 3.344810782978798      
0.7500000000000004   , 3.355346918106078      
0.7600000000000005   , 3.344429833130376      
0.7700000000000005   , 3.311052505798375      
0.7800000000000005   , 3.254509171870109      
0.7900000000000005   , 3.1744445029297768     
0.8000000000000005   , 3.0709016166399943     
0.8100000000000005   , 2.944367436016048      
0.8200000000000005   , 2.795813643449725      
0.8300000000000005   , 2.626731176010149      
0.8400000000000005   , 2.4391558791104777     
0.8500000000000005   , 2.2356825739986075     
0.8600000000000005   , 2.019464398675154      
0.8700000000000006   , 1.7941938496537242     
0.8800000000000006   , 1.5640614812687896     
0.8900000000000006   , 1.3336877077371225     
0.9000000000000006   , 1.108022598539987      
0.9100000000000006   , 0.8922079574825889     
0.9200000000000006   , 0.6913953274877596     
0.9300000000000006   , 0.5105128641900362     
0.9400000000000006   , 0.35397326902474147    
0.9500000000000006   , 0.22531416397654083    
0.9600000000000006   , 0.12676142259570766    
0.9700000000000006   , 0.05870504234930212    
0.9800000000000006   , 0.019076148797536087   
0.9900000000000007   , 0.0026126593278027136  
1.0000000000000007   , 0                      
